Path,Object Number,Object Number 2
Y:\TMS Media\Specimen\Standards\IMG_5964.jpg,2020.6.1,2020.6.800
Y:\TMS Media\Specimen\Standards\IMG_5968.jpg,2020.6.1,
Y:\TMS Media\Specimen\Standards\IMG_5969.jpg,2020.6.3,
Y:\TMS Media\Specimen\Standards\IMG_5970.jpg,2020.6.4,
Y:\TMS Media\Specimen\Standards\IMG_5971.jpg,2020.6.5,
Y:\TMS Media\Specimen\Standards\IMG_5973.jpg,2020.6.6,
Y:\TMS Media\Specimen\Standards\IMG_5974.jpg,2020.6.7,
Y:\TMS Media\Specimen\Standards\IMG_5975.jpg,2020.6.8,
Y:\TMS Media\Specimen\Standards\IMG_5976.jpg,2020.6.9,
Y:\TMS Media\Specimen\Standards\IMG_5977.jpg,2020.6.10,
Y:\TMS Media\Specimen\Standards\IMG_5978.jpg,2020.6.11,
Y:\TMS Media\Specimen\Standards\IMG_5980.jpg,2020.6.12,
Y:\TMS Media\Specimen\Standards\IMG_5981.jpg,2020.6.13,
Y:\TMS Media\Specimen\Standards\IMG_5982.jpg,2020.6.14,
Y:\TMS Media\Specimen\Standards\IMG_5983.jpg,2020.6.15,
Y:\TMS Media\Specimen\Standards\IMG_5984.jpg,2020.6.16,
Y:\TMS Media\Specimen\Standards\IMG_5986.jpg,2020.6.17,
Y:\TMS Media\Specimen\Standards\IMG_5987.jpg,2020.6.18,
Y:\TMS Media\Specimen\Standards\IMG_5989.jpg,2020.6.19,
